,Time,State,Site,Gender,Population,Death
110,2009,Kansas, Myeloma, Male,1404565,66
111,2009,Kentucky, Breast, Female,2193136,614
112,2009,Kentucky, Larynx, Female,2193136,16
113,2009,Kentucky, Larynx, Male,2123938,54
114,2009,Kentucky, Liver, Female,2193136,59
115,2009,Kentucky, Liver, Male,2123938,136
116,2009,Kentucky, Myeloma, Female,2193136,73
117,2009,Kentucky, Myeloma, Male,2123938,92
118,2009,Louisiana, Breast, Female,2295199,661
119,2009,Louisiana, Larynx, Female,2295199,21
120,2009,Louisiana, Larynx, Male,2196449,53
121,2009,Louisiana, Liver, Female,2295199,94
122,2009,Louisiana, Liver, Male,2196449,227
123,2009,Louisiana, Myeloma, Female,2295199,79
124,2009,Louisiana, Myeloma, Male,2196449,82
125,2009,Maine, Breast, Female,678694,195
126,2009,Maine, Larynx, Male,650896,16
127,2009,Maine, Liver, Female,678694,0
128,2009,Maine, Liver, Male,650896,40
129,2009,Maine, Myeloma, Female,678694,24
130,2009,Maine, Myeloma, Male,650896,29
131,2009,Maryland, Breast, Female,2960001,798
132,2009,Maryland, Breast, Male,2770387,0
133,2009,Maryland, Larynx, Female,2960001,22
134,2009,Maryland, Larynx, Male,2770387,59
135,2009,Maryland, Liver, Female,2960001,84
136,2009,Maryland, Liver, Male,2770387,182
137,2009,Maryland, Myeloma, Female,2960001,112
138,2009,Maryland, Myeloma, Male,2770387,107
139,2009,Massachusetts, Breast, Female,3365859,949
140,2009,Massachusetts, Breast, Male,3151754,0
141,2009,Massachusetts, Larynx, Female,3365859,0
142,2009,Massachusetts, Larynx, Male,3151754,58
143,2009,Massachusetts, Liver, Female,3365859,76
144,2009,Massachusetts, Liver, Male,3151754,252
145,2009,Massachusetts, Myeloma, Female,3365859,126
146,2009,Massachusetts, Myeloma, Male,3151754,132
147,2009,Michigan, Breast, Female,5044338,1418
148,2009,Michigan, Breast, Male,4857253,16
149,2009,Michigan, Larynx, Female,5044338,27
150,2009,Michigan, Larynx, Male,4857253,98
151,2009,Michigan, Liver, Female,5044338,133
152,2009,Michigan, Liver, Male,4857253,287
153,2009,Michigan, Myeloma, Female,5044338,193
154,2009,Michigan, Myeloma, Male,4857253,226
155,2009,Minnesota, Breast, Female,2659958,683
156,2009,Minnesota, Larynx, Female,2659958,0
157,2009,Minnesota, Larynx, Male,2621245,34
158,2009,Minnesota, Liver, Female,2659958,43
159,2009,Minnesota, Liver, Male,2621245,134
160,2009,Minnesota, Myeloma, Female,2659958,85
161,2009,Minnesota, Myeloma, Male,2621245,126
162,2009,Mississippi, Breast, Female,1522000,424
163,2009,Mississippi, Larynx, Male,1436774,37
164,2009,Mississippi, Liver, Female,1522000,57
165,2009,Mississippi, Liver, Male,1436774,114
166,2009,Mississippi, Myeloma, Female,1522000,58
167,2009,Mississippi, Myeloma, Male,1436774,56
168,2009,Missouri, Breast, Female,3042021,861
169,2009,Missouri, Larynx, Female,3042021,22
170,2009,Missouri, Larynx, Male,2919067,80
171,2009,Missouri, Liver, Female,3042021,80
172,2009,Missouri, Liver, Male,2919067,229
173,2009,Missouri, Myeloma, Female,3042021,97
174,2009,Missouri, Myeloma, Male,2919067,130
175,2009,Montana, Breast, Female,490122,146
176,2009,Montana, Breast, Male,493860,0
177,2009,Montana, Larynx, Female,490122,0
178,2009,Montana, Liver, Female,490122,0
179,2009,Montana, Liver, Male,493860,21
180,2009,Montana, Myeloma, Female,490122,19
181,2009,Montana, Myeloma, Male,493860,20
182,2009,Nebraska, Breast, Female,913619,216
183,2009,Nebraska, Larynx, Male,899064,0
184,2009,Nebraska, Liver, Female,913619,23
185,2009,Nebraska, Liver, Male,899064,54
186,2009,Nebraska, Myeloma, Female,913619,25
187,2009,Nebraska, Myeloma, Male,899064,37
188,2009,Nevada, Breast, Female,1327618,333
189,2009,Nevada, Larynx, Female,1327618,0
190,2009,Nevada, Larynx, Male,1357047,17
191,2009,Nevada, Liver, Female,1327618,27
192,2009,Nevada, Liver, Male,1357047,100
193,2009,Nevada, Myeloma, Female,1327618,28
194,2009,Nevada, Myeloma, Male,1357047,32
195,2009,New Hampshire, Breast, Female,666875,147
196,2009,New Hampshire, Breast, Male,649227,0
197,2009,New Hampshire, Larynx, Female,666875,0
198,2009,New Hampshire, Larynx, Male,649227,18
199,2009,New Hampshire, Liver, Female,666875,0
200,2009,New Hampshire, Liver, Male,649227,27
201,2009,New Hampshire, Myeloma, Female,666875,31
202,2009,New Hampshire, Myeloma, Male,649227,33
203,2009,New Jersey, Breast, Female,4493506,1348
204,2009,New Jersey, Breast, Male,4262096,0
205,2009,New Jersey, Larynx, Female,4493506,31
206,2009,New Jersey, Larynx, Male,4262096,79
207,2009,New Jersey, Liver, Female,4493506,117
208,2009,New Jersey, Liver, Male,4262096,274
209,2009,New Jersey, Myeloma, Female,4493506,129
210,2009,New Jersey, Myeloma, Male,4262096,183
211,2009,New Mexico, Breast, Female,1031238,262
212,2009,New Mexico, Breast, Male,1005564,0
213,2009,New Mexico, Larynx, Male,1005564,0
214,2009,New Mexico, Liver, Female,1031238,26
215,2009,New Mexico, Liver, Male,1005564,79
216,2009,New Mexico, Myeloma, Female,1031238,18
217,2009,New Mexico, Myeloma, Male,1005564,28
218,2009,New York, Breast, Female,9966620,2691
219,2009,New York, Breast, Male,9340446,27
220,2009,New York, Larynx, Female,9966620,69
221,2009,New York, Larynx, Male,9340446,196
222,2009,New York, Liver, Female,9966620,256
223,2009,New York, Liver, Male,9340446,703
224,2009,New York, Myeloma, Female,9966620,302
225,2009,New York, Myeloma, Male,9340446,354
226,2009,North Carolina, Breast, Female,4846501,1183
227,2009,North Carolina, Breast, Male,4603065,0
228,2009,North Carolina, Larynx, Female,4846501,26
229,2009,North Carolina, Larynx, Male,4603065,92
230,2009,North Carolina, Liver, Female,4846501,99
231,2009,North Carolina, Liver, Male,4603065,296
232,2009,North Carolina, Myeloma, Female,4846501,181
233,2009,North Carolina, Myeloma, Male,4603065,189
234,2009,North Dakota, Breast, Female,329674,88
235,2009,North Dakota, Breast, Male,335294,0
236,2009,North Dakota, Larynx, Female,329674,0
237,2009,North Dakota, Liver, Male,335294,0
238,2009,North Dakota, Myeloma, Female,329674,0
239,2009,North Dakota, Myeloma, Male,335294,20
240,2009,Ohio, Breast, Female,5902018,1745
241,2009,Ohio, Breast, Male,5626878,26
242,2009,Ohio, Larynx, Female,5902018,34
243,2009,Ohio, Larynx, Male,5626878,156
244,2009,Ohio, Liver, Female,5902018,121
245,2009,Ohio, Liver, Male,5626878,364
246,2009,Ohio, Myeloma, Female,5902018,231
247,2009,Ohio, Myeloma, Male,5626878,244
248,2009,Oklahoma, Breast, Female,1878034,464
249,2009,Oklahoma, Larynx, Female,1878034,0
250,2009,Oklahoma, Larynx, Male,1839538,30
251,2009,Oklahoma, Liver, Female,1878034,61
252,2009,Oklahoma, Liver, Male,1839538,156
253,2009,Oklahoma, Myeloma, Female,1878034,49
254,2009,Oklahoma, Myeloma, Male,1839538,81
255,2009,Oregon, Breast, Female,1923209,454
256,2009,Oregon, Breast, Male,1885391,0
257,2009,Oregon, Larynx, Male,1885391,29
258,2009,Oregon, Liver, Female,1923209,48
259,2009,Oregon, Liver, Male,1885391,165
260,2009,Oregon, Myeloma, Female,1923209,66
261,2009,Oregon, Myeloma, Male,1885391,74
262,2009,Pennsylvania, Breast, Female,6497024,2123
263,2009,Pennsylvania, Breast, Male,6169834,16
264,2009,Pennsylvania, Larynx, Female,6497024,38
265,2009,Pennsylvania, Larynx, Male,6169834,148
266,2009,Pennsylvania, Liver, Female,6497024,166
267,2009,Pennsylvania, Liver, Male,6169834,458
268,2009,Pennsylvania, Myeloma, Female,6497024,211
269,2009,Pennsylvania, Myeloma, Male,6169834,253
270,2009,Puerto Rico, Breast, Female,1947361,443
271,2009,Puerto Rico, Larynx, Male,1793049,36
272,2009,Puerto Rico, Liver, Female,1947361,81
273,2009,Puerto Rico, Liver, Male,1793049,192
274,2009,Puerto Rico, Myeloma, Female,1947361,57
275,2009,Puerto Rico, Myeloma, Male,1793049,63
276,2009,Rhode Island, Breast, Female,544764,146
277,2009,Rhode Island, Larynx, Female,544764,0
278,2009,Rhode Island, Larynx, Male,508882,0
279,2009,Rhode Island, Liver, Female,544764,19
280,2009,Rhode Island, Liver, Male,508882,42
281,2009,Rhode Island, Myeloma, Female,544764,0
282,2009,Rhode Island, Myeloma, Male,508882,17
283,2009,South Carolina, Breast, Female,2357030,618
284,2009,South Carolina, Larynx, Female,2357030,0
285,2009,South Carolina, Larynx, Male,2232842,47
286,2009,South Carolina, Liver, Female,2357030,57
287,2009,South Carolina, Liver, Male,2232842,191
288,2009,South Carolina, Myeloma, Female,2357030,76
289,2009,South Carolina, Myeloma, Male,2232842,99
290,2009,South Dakota, Breast, Female,403198,96
291,2009,South Dakota, Breast, Male,403869,0
292,2009,South Dakota, Larynx, Female,403198,0
293,2009,South Dakota, Liver, Male,403869,18
294,2009,South Dakota, Myeloma, Female,403198,0
295,2009,South Dakota, Myeloma, Male,403869,20
296,2009,Tennessee, Breast, Female,3231769,893
297,2009,Tennessee, Breast, Male,3074250,0
298,2009,Tennessee, Larynx, Female,3231769,23
299,2009,Tennessee, Larynx, Male,3074250,81
300,2009,Tennessee, Liver, Female,3231769,104
301,2009,Tennessee, Liver, Male,3074250,251
302,2009,Tennessee, Myeloma, Female,3231769,108
303,2009,Tennessee, Myeloma, Male,3074250,142
304,2009,Texas, Breast, Female,12500150,2599
305,2009,Texas, Breast, Male,12301611,0
306,2009,Texas, Larynx, Female,12500150,44
307,2009,Texas, Larynx, Male,12301611,205
308,2009,Texas, Liver, Female,12500150,358
309,2009,Texas, Liver, Male,12301611,1018
310,2009,Texas, Myeloma, Female,12500150,266
311,2009,Texas, Myeloma, Male,12301611,318
312,2009,Utah, Breast, Female,1355509,227
313,2009,Utah, Liver, Female,1355509,19
314,2009,Utah, Liver, Male,1367912,41
315,2009,Utah, Myeloma, Female,1355509,36
316,2009,Utah, Myeloma, Male,1367912,29
317,2009,Vermont, Breast, Female,317128,77
318,2009,Vermont, Breast, Male,307689,0
319,2009,Vermont, Larynx, Female,317128,0
320,2009,Vermont, Liver, Male,307689,26
321,2009,Vermont, Myeloma, Female,317128,0
322,2009,Vermont, Myeloma, Male,307689,0
323,2009,Virginia, Breast, Female,4037895,1095
324,2009,Virginia, Breast, Male,3888042,0
325,2009,Virginia, Larynx, Female,4037895,18
326,2009,Virginia, Larynx, Male,3888042,67
327,2009,Virginia, Liver, Female,4037895,76
328,2009,Virginia, Liver, Male,3888042,291
329,2009,Virginia, Myeloma, Female,4037895,158
330,2009,Virginia, Myeloma, Male,3888042,173
331,2009,Washington DC, Breast, Female,311828,98
332,2009,Washington DC, Breast, Male,280400,0
333,2009,Washington DC, Liver, Female,311828,0
334,2009,Washington DC, Liver, Male,280400,28
335,2009,Washington DC, Myeloma, Female,311828,16
336,2009,Washington DC, Myeloma, Male,280400,16
337,2009,Washington, Breast, Female,3343920,791
338,2009,Washington, Larynx, Female,3343920,0
339,2009,Washington, Larynx, Male,3323506,51
340,2009,Washington, Liver, Female,3343920,89
341,2009,Washington, Liver, Male,3323506,226
342,2009,Washington, Myeloma, Female,3343920,93
343,2009,Washington, Myeloma, Male,3323506,134
344,2009,West Virginia, Breast, Female,937434,292
345,2009,West Virginia, Larynx, Male,910341,28
346,2009,West Virginia, Liver, Female,937434,32
347,2009,West Virginia, Liver, Male,910341,43
348,2009,West Virginia, Myeloma, Female,937434,38
349,2009,West Virginia, Myeloma, Male,910341,51
350,2009,Wisconsin, Breast, Female,2856103,758
351,2009,Wisconsin, Larynx, Female,2856103,0
352,2009,Wisconsin, Larynx, Male,2813161,42
353,2009,Wisconsin, Liver, Female,2856103,60
354,2009,Wisconsin, Liver, Male,2813161,151
355,2009,Wisconsin, Myeloma, Female,2856103,100
356,2009,Wisconsin, Myeloma, Male,2813161,141
357,2009,Wyoming, Breast, Female,274046,68
358,2009,Wyoming, Breast, Male,285805,0
359,2009,Wyoming, Larynx, Female,274046,0
360,2009,Wyoming, Liver, Male,285805,16
361,2009,Wyoming, Myeloma, Female,274046,0
362,2010,Alabama, Breast, Female,2462449,696
363,2010,Alabama, Larynx, Female,2462449,0
364,2010,Alabama, Larynx, Male,2322988,54
365,2010,Alabama, Liver, Female,2462449,81
366,2010,Alabama, Liver, Male,2322988,189
367,2010,Alabama, Myeloma, Female,2462449,112
368,2010,Alabama, Myeloma, Male,2322988,102
369,2010,Alaska, Breast, Female,342316,59
370,2010,Alaska, Breast, Male,371594,0
371,2010,Alaska, Larynx, Female,342316,0
372,2010,Alaska, Liver, Male,371594,0
373,2010,Arizona, Breast, Female,3223250,733
374,2010,Arizona, Larynx, Female,3223250,0
375,2010,Arizona, Larynx, Male,3183922,52
376,2010,Arizona, Liver, Female,3223250,104
377,2010,Arizona, Liver, Male,3183922,212
378,2010,Arizona, Myeloma, Female,3223250,90
379,2010,Arizona, Myeloma, Male,3183922,115
380,2010,Arkansas, Breast, Female,1487240,413
381,2010,Arkansas, Larynx, Male,1434724,23
382,2010,Arkansas, Liver, Female,1487240,61
383,2010,Arkansas, Liver, Male,1434724,140
384,2010,Arkansas, Myeloma, Female,1487240,45
385,2010,Arkansas, Myeloma, Male,1434724,73
386,2010,California, Breast, Female,18773564,4238
387,2010,California, Breast, Male,18545938,27
388,2010,California, Larynx, Female,18773564,56
389,2010,California, Larynx, Male,18545938,243
390,2010,California, Liver, Female,18773564,565
391,2010,California, Liver, Male,18545938,1533
392,2010,California, Myeloma, Female,18773564,525
393,2010,California, Myeloma, Male,18545938,599
394,2010,Colorado, Breast, Female,2517833,528
395,2010,Colorado, Larynx, Male,2529516,23
396,2010,Colorado, Liver, Female,2517833,42
397,2010,Colorado, Liver, Male,2529516,126
398,2010,Colorado, Myeloma, Female,2517833,59
399,2010,Colorado, Myeloma, Male,2529516,77
400,2010,Connecticut, Breast, Female,1836796,498
401,2010,Connecticut, Larynx, Male,1742318,28
402,2010,Connecticut, Liver, Female,1836796,31
403,2010,Connecticut, Liver, Male,1742318,114
404,2010,Connecticut, Myeloma, Female,1836796,66
405,2010,Connecticut, Myeloma, Male,1742318,66
406,2010,Delaware, Breast, Female,463943,130
407,2010,Delaware, Breast, Male,435650,0
408,2010,Delaware, Liver, Female,463943,0
409,2010,Delaware, Liver, Male,435650,42
410,2010,Delaware, Myeloma, Female,463943,16
411,2010,Delaware, Myeloma, Male,435650,19
412,2010,Florida, Breast, Female,9633581,2857
413,2010,Florida, Breast, Male,9211956,37
414,2010,Florida, Larynx, Female,9633581,48
415,2010,Florida, Larynx, Male,9211956,264
416,2010,Florida, Liver, Female,9633581,340
417,2010,Florida, Liver, Male,9211956,815
418,2010,Florida, Myeloma, Female,9633581,336
419,2010,Florida, Myeloma, Male,9211956,424
420,2010,Georgia, Breast, Female,4970696,1222
421,2010,Georgia, Breast, Male,4741185,18
422,2010,Georgia, Larynx, Female,4970696,26
423,2010,Georgia, Larynx, Male,4741185,104
424,2010,Georgia, Liver, Female,4970696,136
425,2010,Georgia, Liver, Male,4741185,289
426,2010,Georgia, Myeloma, Female,4970696,131
427,2010,Georgia, Myeloma, Male,4741185,148
428,2010,Hawaii, Breast, Female,680678,126
429,2010,Hawaii, Breast, Male,683285,0
430,2010,Hawaii, Larynx, Female,680678,0
431,2010,Hawaii, Larynx, Male,683285,0
432,2010,Hawaii, Liver, Female,680678,25
433,2010,Hawaii, Liver, Male,683285,73
434,2010,Hawaii, Myeloma, Female,680678,0
435,2010,Hawaii, Myeloma, Male,683285,23
436,2010,Idaho, Breast, Female,783947,185
437,2010,Idaho, Breast, Male,786799,0
438,2010,Idaho, Larynx, Female,783947,0
439,2010,Idaho, Larynx, Male,786799,0
440,2010,Idaho, Liver, Female,783947,0
441,2010,Idaho, Liver, Male,786799,39
442,2010,Idaho, Myeloma, Female,783947,23
443,2010,Idaho, Myeloma, Male,786799,32
444,2010,Illinois, Breast, Female,6543398,1740
445,2010,Illinois, Breast, Male,6297105,0
446,2010,Illinois, Larynx, Female,6543398,25
447,2010,Illinois, Larynx, Male,6297105,112
448,2010,Illinois, Liver, Female,6543398,166
449,2010,Illinois, Liver, Male,6297105,419
450,2010,Illinois, Myeloma, Female,6543398,201
451,2010,Illinois, Myeloma, Male,6297105,245
452,2010,Indiana, Breast, Female,3297330,888
453,2010,Indiana, Breast, Male,3193102,0
454,2010,Indiana, Larynx, Female,3297330,24
455,2010,Indiana, Larynx, Male,3193102,76
456,2010,Indiana, Liver, Female,3297330,60
457,2010,Indiana, Liver, Male,3193102,197
458,2010,Indiana, Myeloma, Female,3297330,108
459,2010,Indiana, Myeloma, Male,3193102,143
460,2010,Iowa, Breast, Female,1539815,392
461,2010,Iowa, Larynx, Male,1510930,23
462,2010,Iowa, Liver, Female,1539815,25
463,2010,Iowa, Liver, Male,1510930,82
464,2010,Iowa, Myeloma, Female,1539815,55
465,2010,Iowa, Myeloma, Male,1510930,69
466,2010,Kansas, Breast, Female,1440082,355
467,2010,Kansas, Larynx, Male,1418108,0
468,2010,Kansas, Liver, Female,1440082,27
469,2010,Kansas, Liver, Male,1418108,87
470,2010,Kansas, Myeloma, Female,1440082,53
471,2010,Kansas, Myeloma, Male,1418108,64
472,2010,Kentucky, Breast, Female,2208756,586
473,2010,Kentucky, Larynx, Female,2208756,17
474,2010,Kentucky, Larynx, Male,2139425,55
475,2010,Kentucky, Liver, Female,2208756,60
476,2010,Kentucky, Liver, Male,2139425,150
477,2010,Kentucky, Myeloma, Female,2208756,82
478,2010,Kentucky, Myeloma, Male,2139425,84
479,2010,Louisiana, Breast, Female,2319869,648
480,2010,Louisiana, Larynx, Female,2319869,0
481,2010,Louisiana, Larynx, Male,2224663,47
482,2010,Louisiana, Liver, Female,2319869,74
483,2010,Louisiana, Liver, Male,2224663,224
484,2010,Louisiana, Myeloma, Female,2319869,72
485,2010,Louisiana, Myeloma, Male,2224663,98
486,2010,Maine, Breast, Female,677938,195
487,2010,Maine, Larynx, Male,649691,17
488,2010,Maine, Liver, Female,677938,0
489,2010,Maine, Liver, Male,649691,59
490,2010,Maine, Myeloma, Female,677938,38
491,2010,Maine, Myeloma, Male,649691,30
492,2010,Maryland, Breast, Female,2988734,845
493,2010,Maryland, Breast, Male,2799911,17
494,2010,Maryland, Larynx, Female,2988734,0
495,2010,Maryland, Larynx, Male,2799911,62
496,2010,Maryland, Liver, Female,2988734,73
497,2010,Maryland, Liver, Male,2799911,210
498,2010,Maryland, Myeloma, Female,2988734,115
499,2010,Maryland, Myeloma, Male,2799911,101
500,2010,Massachusetts, Breast, Female,3390173,825
501,2010,Massachusetts, Breast, Male,3176134,0
502,2010,Massachusetts, Larynx, Female,3390173,22
503,2010,Massachusetts, Larynx, Male,3176134,60
504,2010,Massachusetts, Liver, Female,3390173,90
505,2010,Massachusetts, Liver, Male,3176134,278
506,2010,Massachusetts, Myeloma, Female,3390173,107
507,2010,Massachusetts, Myeloma, Male,3176134,117
508,2010,Michigan, Breast, Female,5032334,1492
509,2010,Michigan, Breast, Male,4845176,21
510,2010,Michigan, Larynx, Female,5032334,21
511,2010,Michigan, Larynx, Male,4845176,114
512,2010,Michigan, Liver, Female,5032334,145
513,2010,Michigan, Liver, Male,4845176,360
514,2010,Michigan, Myeloma, Female,5032334,189
515,2010,Michigan, Myeloma, Male,4845176,217
516,2010,Minnesota, Breast, Female,2675243,650
517,2010,Minnesota, Larynx, Female,2675243,0
518,2010,Minnesota, Larynx, Male,2635585,42
519,2010,Minnesota, Liver, Female,2675243,57
520,2010,Minnesota, Liver, Male,2635585,144
521,2010,Minnesota, Myeloma, Female,2675243,67
522,2010,Minnesota, Myeloma, Male,2635585,113
523,2010,Mississippi, Breast, Female,1527339,432
524,2010,Mississippi, Larynx, Male,1443209,28
525,2010,Mississippi, Liver, Female,1527339,80
526,2010,Mississippi, Liver, Male,1443209,127
527,2010,Mississippi, Myeloma, Female,1527339,62
528,2010,Mississippi, Myeloma, Male,1443209,54
529,2010,Missouri, Breast, Female,3058803,884
530,2010,Missouri, Larynx, Female,3058803,0
531,2010,Missouri, Larynx, Male,2937171,55
532,2010,Missouri, Liver, Female,3058803,74
533,2010,Missouri, Liver, Male,2937171,218
534,2010,Missouri, Myeloma, Female,3058803,96
535,2010,Missouri, Myeloma, Male,2937171,139
536,2010,Montana, Breast, Female,493463,134
537,2010,Montana, Breast, Male,497234,0
538,2010,Montana, Larynx, Female,493463,0
539,2010,Montana, Liver, Female,493463,0
540,2010,Montana, Liver, Male,497234,32
541,2010,Montana, Myeloma, Female,493463,19
542,2010,Montana, Myeloma, Male,497234,23
543,2010,Nebraska, Breast, Female,921433,225
544,2010,Nebraska, Larynx, Male,908109,0
545,2010,Nebraska, Liver, Female,921433,17
546,2010,Nebraska, Liver, Male,908109,50
547,2010,Nebraska, Myeloma, Female,921433,38
548,2010,Nebraska, Myeloma, Male,908109,32
549,2010,Nevada, Breast, Female,1338295,331
550,2010,Nevada, Larynx, Female,1338295,0
551,2010,Nevada, Larynx, Male,1364110,19
552,2010,Nevada, Liver, Female,1338295,43
553,2010,Nevada, Liver, Male,1364110,96
554,2010,Nevada, Myeloma, Female,1338295,32
555,2010,Nevada, Myeloma, Male,1364110,39
556,2010,New Hampshire, Breast, Female,667225,184
557,2010,New Hampshire, Breast, Male,649537,0
558,2010,New Hampshire, Larynx, Female,667225,0
559,2010,New Hampshire, Larynx, Male,649537,0
560,2010,New Hampshire, Liver, Female,667225,0
561,2010,New Hampshire, Liver, Male,649537,36
562,2010,New Hampshire, Myeloma, Female,667225,0
563,2010,New Hampshire, Myeloma, Male,649537,18
564,2010,New Jersey, Breast, Female,4515647,1322
565,2010,New Jersey, Breast, Male,4283799,23
566,2010,New Jersey, Larynx, Female,4515647,34
567,2010,New Jersey, Larynx, Male,4283799,81
568,2010,New Jersey, Liver, Female,4515647,131
569,2010,New Jersey, Liver, Male,4283799,288
570,2010,New Jersey, Myeloma, Female,4515647,128
571,2010,New Jersey, Myeloma, Male,4283799,153
572,2010,New Mexico, Breast, Female,1044263,266
573,2010,New Mexico, Breast, Male,1020289,0
574,2010,New Mexico, Larynx, Male,1020289,22
575,2010,New Mexico, Liver, Female,1044263,24
576,2010,New Mexico, Liver, Male,1020289,76
577,2010,New Mexico, Myeloma, Female,1044263,28
578,2010,New Mexico, Myeloma, Male,1020289,35
579,2010,New York, Breast, Female,10010668,2700
580,2010,New York, Breast, Male,9389210,34
581,2010,New York, Larynx, Female,10010668,59
582,2010,New York, Larynx, Male,9389210,198
583,2010,New York, Liver, Female,10010668,276
584,2010,New York, Liver, Male,9389210,713
